Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion
35,Male,Twitter,70,1,13,8,10,Boredom
31,Male,LinkedIn,60,1,15,7,17,Anxiety
26,Non-binary,Facebook,45,1,8,4,12,Sadness
29,Female,Whatsapp,90,2,24,12,22,Anger
23,Non-binary,LinkedIn,50,1,12,6,12,Neutral
30,Male,Twitter,70,2,30,12,20,Anxiety
29,Female,Snapchat,95,2,23,10,28,Sadness
27,Female,Instagram,165,6,85,30,28,Happiness
34,Male,LinkedIn,65,1,14,6,15,Boredom
25,Female,Instagram,120,5,50,20,25,Happiness
23,Non-binary,LinkedIn,50,1,12,6,12,Neutral
34,Female,Instagram,120,5,60,25,25,Anger
28,Non-binary,Snapchat,115,3,38,18,27,Anxiety
23,Male,Whatsapp,70,3,22,10,18,Anger
24,Male,Telegram,75,3,37,16,22,Neutral
28,Male,Twitter,90,4,48,22,25,Anxiety
27,Male,Telegram,105,3,45,15,28,Anxiety
27,Female,Snapchat,120,4,40,18,22,Neutral
28,Female,Whatsapp,100,4,37,14,26,Anxiety
27,Female,Twitter,85,3,40,18,20,Anger
25,Male,Telegram,80,4,28,11,25,Neutral
28,Male,Twitter,100,6,50,30,29,Anger
27,Non-binary,LinkedIn,55,1,9,2,11,Anxiety
27,Male,Facebook,60,1,10,4,15,Boredom
29,Non-binary,Facebook,60,1,12,4,12,Boredom
23,Non-binary,Facebook,105,2,25,12,18,Neutral
23,Female,Twitter,75,4,45,20,25,Anxiety
23,Female,Twitter,75,4,45,20,25,Anxiety
23,Non-binary,Twitter,70,3,27,11,18,Neutral
26,Non-binary,Facebook,75,2,30,12,18,Anxiety
23,Non-binary,Facebook,105,2,25,12,18,Neutral
30,Male,Instagram,175,7,100,33,38,Happiness
35,Male,Twitter,70,1,13,8,10,Boredom
29,Male,LinkedIn,60,2,15,5,10,Neutral
31,Male,Facebook,80,2,20,10,20,Neutral
31,Male,Telegram,50,2,18,6,10,Boredom
31,Male,Facebook,80,2,20,10,20,Neutral
22,Female,Facebook,70,1,14,6,10,Neutral
31,Male,Instagram,175,6,72,30,33,Happiness
26,Non-binary,Facebook,75,2,28,11,18,Anxiety
32,Female,Instagram,130,5,80,28,31,Neutral
26,Male,Facebook,75,2,30,14,20,Anxiety
29,Female,Snapchat,90,3,22,10,21,Sadness
21,Non-binary,Facebook,40,1,5,2,10,Neutral
22,Non-binary,Snapchat,75,2,21,8,20,Sadness
29,Non-binary,Facebook,85,2,27,9,20,Neutral
24,Female,Twitter,105,4,35,20,23,Anger
26,Male,Twitter,75,2,23,12,18,Sadness
28,Female,Instagram,200,8,110,40,45,Anxiety
32,Male,Instagram,130,5,70,19,31,Neutral
30,Male,Twitter,70,2,28,10,20,Anxiety
28,Female,Twitter,95,4,48,22,25,Happiness
33,Male,LinkedIn,45,1,10,5,12,Boredom
23,Non-binary,LinkedIn,50,1,12,6,12,Neutral
29,Non-binary,Facebook,60,1,12,4,12,Boredom
28,Non-binary,Snapchat,115,3,38,18,26,Anxiety
26,Male,Twitter,75,2,23,12,18,Sadness
26,Male,Facebook,75,2,30,14,20,Anxiety
27,Male,Twitter,90,3,40,16,24,Sadness
22,Male,Twitter,70,1,20,5,22,Neutral
33,Male,LinkedIn,85,4,35,18,18,Boredom
24,Non-binary,Facebook,110,6,35,23,25,Sadness
24,Male,Telegram,75,3,37,16,22,Neutral
27,Male,Facebook,60,1,10,4,15,Boredom
